order_id,customer_id,order_date,ship_date,state,product_category,quantity,unit_price,discount,returned,payment_status
100000,C00268,2025-05-04,2025-05-05,TX,Books,1,527.22,0.05,False,Paid
100001,C02322,2025-03-21,2025-03-28,WA,Sports,7,637.31,0.05,False,Paid
100002,C01964,2025-07-09,2025-07-11,AZ,Furniture,4,1477.2,0.0,False,Paid
100003,C01317,2025-08-30,2025-09-06,CA,Books,7,135.45,0.0,False,Paid
100004,C01299,2025-04-06,2025-04-12,CA,Books,3,176.36,0.0,False,Paid
100005,C02575,2025-10-07,2025-10-09,WA,Electronics,6,658.7,0.0,False,Paid
100006,C00258,2025-08-22,2025-08-27,NY,Electronics,3,262.17,0.2,False,Paid
100007,C02092,2025-03-02,2025-03-03,AZ,Furniture,4,1030.4,0.0,False,Pending
100008,C00605,2025-12-09,2025-12-16,NY,Sports,3,547.41,0.05,False,Paid
100009,C00283,2025-01-17,2025-01-20,OR,Clothing,4,1270.85,0.2,False,Paid
100010,C01579,2025-08-27,2025-08-31,AZ,Clothing,2,1125.43,0.0,False,Pending
100011,C02926,2025-06-10,,TX,Clothing,4,711.5,0.15,False,Pending
100012,C02207,2025-08-27,,CO,Clothing,6,1269.02,0.05,False,Paid
100013,C02283,2025-10-10,2025-10-14,WA,Sports,2,160.22,0.05,False,Paid
100014,C02152,2025-09-08,2025-09-11,WA,Electronics,6,875.84,0.1,False,Paid
100015,C02358,2025-08-26,2025-09-04,CO,Clothing,6,911.65,0.1,False,Paid
100016,C01540,2025-11-03,2025-11-06,FL,Furniture,1,376.57,0.15,False,Paid
100017,C00385,2025-09-14,2025-09-16,OR,Sports,5,83.94,0.15,False,Paid
100018,C02519,2025-10-25,2025-10-30,WA,Electronics,4,807.45,0.0,False,Paid
100019,C01351,2025-05-28,2025-05-31,OR, furniture ,5,775.38,0.0,False,Paid
100020,C01501,2025-03-16,2025-03-21,AZ,Clothing,3,983.88,0.15,False,Paid
100021,C01113,2025-03-27,2025-04-03,TX,Clothing,2,327.26,0.05,False,Paid
100022,C00548,2025-08-12,2025-08-13,TX,Clothing,3,277.67,0.0,False,Paid
100023,C02780,2025-07-14,2025-07-19,WA,Books,2,1467.09,0.1,False,Paid
100024,C02344,2025-01-29,2025-01-30,OR,Sports,3,179.4,0.05,False,Paid
100025,C01931,2025-03-16,2025-03-17,AZ,Furniture,7,1499.12,0.2,False,Paid
100026,C01207,2025-12-20,2025-12-21,TX,Sports,6,1082.77,0.2,False,Pending
100027,C02468,2025-09-23,2025-09-25,AZ,Clothing,2,947.69,0.0,False,Pending
100028,C01636,2025-10-03,2025-10-07,CO,Furniture,4,516.28,0.15,False,Paid
100029,C01330,2025-03-13,2025-03-22,OR,Electronics,1,1303.03,0.2,False,Failed
100030,C01351,2025-01-24,2025-02-02,CO,Electronics,1,1365.99,0.15,False,Paid
100031,C00682,2025-04-17,2025-04-18,CO,Furniture,5,1085.61,0.15,False,Paid
100032,C00277,2025-11-09,2025-11-18,AZ,Books,3,1067.73,0.1,False,Paid
100033,C01664,2025-07-04,2025-07-10,OR,Clothing,5,744.8,0.1,True,Paid
100034,C02663,2025-10-14,2025-10-19,WA,Clothing,2,125.97,0.0,False,Paid
100035,C00192,2025-06-27,2025-07-05,AZ,Furniture,1,1498.55,0.0,True,Paid
100036,C02575,2025-06-28,2025-07-03,OR,Furniture,6,33.18,0.15,False,Paid
100037,C02483,2025-08-08,2025-08-11,CA,Sports,2,748.14,0.1,False,Paid
100038,C00831,2025-12-17,2025-12-22,FL,Electronics,1,557.03,0.0,False,Paid
100039,C01895,2025-06-09,2025-06-16,WA,Sports,6,1166.44,0.05,False,Paid
100040,C00496,2025-08-06,2025-08-13,CO,Books,5,1106.31,0.15,False,Paid
100041,C02274,2025-12-02,2025-12-04,AZ,Books,7,945.79,0.0,True,Paid
100042,C02101,2025-05-16,2025-05-25,CA,Furniture,5,121.36,0.05,True,Paid
100043,C01064,2025-11-03,2025-11-06,CO,Books,4,362.91,0.2,False,Paid
100044,C00204,2025-07-15,2025-07-23,CO,Furniture,5,150.3,0.1,False,Paid
100045,C02912,2025-11-17,2025-11-20,AZ,Furniture,6,1468.67,0.1,False,Paid
100046,C01337,2025-06-20,2025-06-21,WA,Furniture,5,200.4,0.0,False,Paid
100047,C02679,2025-08-18,2025-08-27,FL,Electronics,3,1451.12,0.0,False,Paid
100048,C02034,2025-04-28,2025-05-04,AZ,Furniture,7,177.94,0.15,False,Paid
100049,C02335,2025-08-20,2025-08-22,AZ,Books,5,1294.72,0.05,False,Pending
100050,C02279,2025-04-30,2025-05-01,OR,Sports,7,866.2,0.05,False,Paid
100051,C00584,2025-08-11,2025-08-13,FL,Furniture,4,1249.27,0.0,False,Paid
100052,C01092,2025-10-15,2025-10-17,OR,Furniture,4,954.71,0.15,False,Pending
100053,C01400,2025-06-08,2025-06-17,WA,Furniture,6,1155.57,0.2,False,Paid
100054,C01493,2025-06-06,2025-06-08,FL,Electronics,5,1098.91,0.05,False,Paid
100055,C00132,2025-04-28,2025-04-30,OR,Electronics,6,397.68,0.05,False,Paid
100056,C01640,2025-09-24,2025-10-02,TX,Books,7,1403.22,0.15,False,Paid
100057,C00463,2025-08-05,2025-08-13,FL,Sports,2,969.03,0.1,False,Paid
100058,C02230,2025-07-08,2025-07-10,WA,Sports,2,311.11,0.15,False,Paid
100059,C02049,2025-01-10,2025-01-16,NY,Furniture,2,466.0,0.15,True,Paid
100060,C02767,2025-02-10,2025-02-15,WA,Books,5,804.25,0.15,False,Paid
100061,C02234,2025-01-03,2025-01-09,CO,Electronics,6,1323.92,0.0,False,Paid
100062,C01100,2025-11-07,2025-11-10,AZ,Books,7,1197.16,0.1,False,Paid
100063,C02902,2025-11-07,2025-11-14,OR,Clothing,1,460.05,0.1,False,Paid
100064,C01233,2025-01-25,2025-02-02,FL,Furniture,1,1035.84,0.2,False,Paid
100065,C00978,2025-01-17,2025-01-24,TX,Sports,5,12.47,0.15,False,Paid
100066,C02716,2025-10-13,2025-10-22,CO,Clothing,2,505.64,0.15,True,Paid
100067,C01112,2025-07-11,2025-07-12,TX,Furniture,4,1261.0,0.2,False,Paid
